Word,Democrat Frequency,Republican Frequency
repkatieporter,18,0
#smallbusinessweek,4,16
photo,17,14
visited,15,38
french,3,6
pantry,6,2
jacksonville,2,11
helps,52,39
vibrant,8,4
#smallzbiz,2,0
shouldnt,54,57
wildfires,38,25
debris,5,9
flood,17,31
waters,10,9
hurricanes,6,15
heat,9,5
felt,2,5
responding,7,9
#census,61,17
confidential,4,6
regardless,23,31
immigration,44,14
status,35,25
complete,70,44
gets,37,42
representation,36,4
deserves,36,49
httpstcolkvfhlfxs,2,0
presidents,74,46
payroll,15,20
tax,88,140
unpopular,2,4
ineffective,5,2
harmful,32,21
#,25,56
#saveoursocialsecuritynow,2,0
executive,42,86
defunding,3,22
destroying,7,13
#socialsecurity,7,0
#forthepeople,55,0
stuck,8,6
lower,44,43
costs,45,63
rebuilding,25,29
participating,18,20
critically,12,11
checking,7,2
minutes,33,40
registered,48,7
#nationalvoterregistrationday,10,0
visiting,34,42
running,56,40
census,92,24
filling,9,7
easy,30,28
injustices,12,0
equal,51,9
counted,74,80
#savethecensus,2,0
icon,5,10
ruth,17,28
bader,15,27
ginsberg,2,7
moved,15,13
mountains,6,5
paved,6,4
thankful,80,134
shaped,11,3
appropsdems,25,0
days,268,137
samesenategop,2,0
surviving,4,2
acknowledged,3,2
role,92,145
harm,27,25
nineteen,3,5
horrific,22,12
terrorist,6,26
attacks,48,54
lived,10,12
stolen,9,4
reminds,13,8
#neverforget,9,36
#suicidepreventionweek,2,0
reached,18,16
pressing,13,12
texting,2,0
evicted,4,0
cant,230,158
afford,42,34
inaction,22,6
backs,5,11
wall,18,29
providing,58,96
transportation,40,46
reopening,11,34
drivethru,14,7
